sample,x_input,y_output
          5,  2816,  1540
          6,  3741,  2564
          7,  4653,  3583
          8,  5549,  4595
          9,  6427,  5098
         10,  7284,  6096
         11,  8117,  7082
         12,  8923,  7570
         13,  9699,  8536
         14, 10443,  9013
         15, 11152,  9955
         16, 11824, 10419
         17, 12458, 11334
         18, 13049, 11784
         19, 13598, 12229
         20, 14101, 12669
         21, 14558, 13103
         22, 14967, 13532
         23, 15325, 13956
         24, 15633, 13956
         25, 15889, 14374
         26, 16093, 14786
         27, 16243, 14786
         28, 16339, 14786
         29, 16381, 14786
         30, 16369, 14786
         31, 16302, 14786
         32, 16181, 14786
         33, 16007, 14786
         34, 15779, 14786
         35, 15500, 14374
         36, 15169, 14374
         37, 14787, 13956
         38, 14356, 13532
         39, 13878, 13532
         40, 13354, 13103
         41, 12786, 12669
         42, 12175, 11784
         43, 11524, 11334
         44, 10834, 10879
         45, 10109, 10419
         46,  9350,  9486
         47,  8560,  9013
         48,  7742,  8055
         49,  6898,  7570
         50,  6031,  6590
         51,  5144,  5598
         52,  4240,  5098
         53,  3322,  4090
         54,  2393,  3074
         55,  1456,  2053
         56,   514,  1027
         57,  -428,   513
         58, -1370,     0
         59, -2308, -1027
         60, -3238, -2053
         61, -4157, -3074
         62, -5062, -4090
         63, -5951, -4595
         64, -6820, -5598
         65, -7666, -6590
         66, -8487, -7082
         67, -9279, -8055
         68,-10041, -9013
         69,-10770, -9486
         70,-11462,-10419
         71,-12117,-10879
         72,-12732,-11334
         73,-13304,-11784
         74,-13833,-12229
         75,-14315,-13103
         76,-14750,-13103
         77,-15136,-13532
         78,-15472,-13956
         79,-15756,-14374
         80,-15988,-14374
         81,-16168,-14786
         82,-16293,-14786
         83,-16365,-14786
         84,-16382,-14786
         85,-16345,-14786
         86,-16254,-14786
         87,-16109,-14786
         88,-15910,-14786
         89,-15659,-14786
         90,-15355,-14374
         91,-15001,-13956
         92,-14597,-13956
         93,-14145,-13532
         94,-13646,-13103
         95,-13101,-12669
         96,-12513,-12229
         97,-11884,-11784
         98,-11215,-11334
         99,-10509,-10419
        100, -9768, -9955
        101, -8994, -9486
        102, -8191, -8536
        103, -7361, -7570
        104, -6506, -7082
        105, -5630, -6096
        106, -4735, -5098
        107, -3824, -4595
        108, -2901, -3583
        109, -1968, -2564
        110, -1028, -1540
        111,   -85, -1027
        112,   857,     0
        113,  1797,   513
        114,  2732,  1540
        115,  3657,  2564
        116,  4570,  3583
        117,  5468,  4090
        118,  6348,  5098
        119,  7207,  6096
        120,  8042,  7082
        121,  8851,  7570
        122,  9629,  8536
        123, 10376,  9013
        124, 11089,  9955
        125, 11765, 10419
        126, 12402, 10879
        127, 12997, 11784
        128, 13550, 12229
        129, 14058, 12669
        130, 14519, 13103
        131, 14931, 13532
        132, 15295, 13956
        133, 15607, 13956
        134, 15868, 14374
        135, 16077, 14374
        136, 16231, 14786
        137, 16332, 14786
        138, 16379, 14786
        139, 16372, 14786
        140, 16310, 14786
        141, 16194, 14786
        142, 16025, 14786
        143, 15802, 14786
        144, 15527, 14374
        145, 15201, 14374
        146, 14824, 13956
        147, 14398, 13532
        148, 13924, 13532
        149, 13404, 13103
        150, 12839, 12669
        151, 12232, 12229
        152, 11584, 11334
        153, 10898, 10879
        154, 10176, 10419
        155,  9420,  9486
        156,  8633,  9013
        157,  7817,  8055
        158,  6975,  7570
        159,  6110,  6590
        160,  5225,  5598
        161,  4323,  5098
        162,  3406,  4090
        163,  2478,  3074
        164,  1541,  2053
        165,   600,  1540
        166,  -343,   513
        167, -1285,     0
        168, -2223, -1027
        169, -3154, -2053
        170, -4074, -3074
        171, -4981, -3583
        172, -5871, -4595
        173, -6742, -5598
        174, -7590, -6590
        175, -8413, -7082
        176, -9208, -8055
        177, -9973, -8536
        178,-10705, -9486
        179,-11401, -9955
        180,-12059,-10879
        181,-12678,-11334
        182,-13254,-11784
        183,-13786,-12229
        184,-14273,-12669
        185,-14712,-13103
        186,-15103,-13532
        187,-15443,-13956
        188,-15732,-14374
        189,-15970,-14374
        190,-16154,-14786
        191,-16284,-14786
        192,-16361,-14786
        193,-16383,-14786
        194,-16351,-14786
        195,-16264,-14786
        196,-16124,-14786
        197,-15930,-14786
        198,-15684,-14786
        199,-15385,-14374
